Datos,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45
0.049662638,0.701236784,-0.016533945,-0.724425205,-0.999453257,-0.677281572,0.049583755,0.746821477,0.997813627,0.652585762,-0.082579345,-0.768401111,-0.995082903,-0.627176358,0.115484637,0.789140509,0.991264069,0.601081147,-0.148263648,-0.809016994,-0.986361303,-0.574328663,0.180880534,0.828008831,0.980379966,0.546948158,-0.213299631,-0.846095252,-0.973326597,-0.518969574,0.245485487,0.863256481,0.96520891,0.490423504,-0.277402909,-0.879473751,-0.956035782,-0.461341163,0.309016994,0.89472933,0.945817242,0.431754352,-0.340293174,-0.909006535,-0.934564465,-0.401695425,-0.712928448,-0.999863305,-0.689353409,0.033063369,0.735723911,0.998769969,0.665024572,-0.066090584,-0.75771487,-0.996584493,-0.639968541,0.09904553,0.778877279,0.993309266,0.614212713,-0.131892171,-0.799187997,-0.988947871,-0.587785252,0.16459459,0.818624815,0.983505075,0.560715057,-0.197117027,-0.837166478,-0.976986831,-0.533031729,0.22942392,0.854792713,0.969400266,0.504765538,-0.261479941,-0.871484244,-0.960753676,-0.475947393,0.293250037,0.887222819,0.951056516,0.446608807,-0.324699469,-0.90199123,-0.94031939,-0.41678186,0.355793847,0.915773327
0.024881666,0.746821477,0.115484637,-0.574328663,-0.973326597,-0.879473751,-0.340293174,0.371197249,0.89472933,0.96520891,0.546948158,-0.148263648,-0.768401111,-0.999453257,-0.724425205,-0.082579345,0.601081147,0.980379966,0.863256481,0.309016994,-0.401695425,-0.909006535,-0.956035782,-0.518969574,0.180880534,0.789140509,0.997813627,0.701236784,0.049583755,-0.627176358,-0.986361303,-0.846095252,-0.277402909,0.431754352,0.922289755,0.945817242,0.490423504,-0.213299631,-0.809016994,-0.995082903,-0.677281572,-0.016533945,0.652585762,0.991264069,0.828008831,0.245485487,-0.665024572,-0.993309266,-0.818624815,-0.22942392,0.475947393,0.94031939,0.928554038,0.446608807,-0.261479941,-0.837166478,-0.988947871,-0.639968541,0.033063369,0.689353409,0.996584493,0.799187997,0.197117027,-0.504765538,-0.951056516,-0.915773327,-0.41678186,0.293250037,0.854792713,0.983505075,0.614212713,-0.066090584,-0.712928448,-0.998769969,-0.778877279,-0.16459459,0.533031729,0.960753676,0.90199123,0.386499169,-0.324699469,-0.871484244,-0.976986831,-0.587785252,0.09904553,0.735723911,0.999863305,0.75771487,0.131892171,-0.560715057,-0.969400266
-0.103471941,0.789140509,0.245485487,-0.401695425,-0.879473751,-0.986361303,-0.677281572,-0.082579345,0.546948158,0.945817242,0.945817242,0.546948158,-0.082579345,-0.677281572,-0.986361303,-0.879473751,-0.401695425,0.245485487,0.789140509,1,0.789140509,0.245485487,-0.401695425,-0.879473751,-0.986361303,-0.677281572,-0.082579345,0.546948158,0.945817242,0.945817242,0.546948158,-0.082579345,-0.677281572,-0.986361303,-0.879473751,-0.401695425,0.245485487,0.789140509,1,0.789140509,0.245485487,-0.401695425,-0.879473751,-0.986361303,-0.677281572,-0.082579345,-0.614212713,-0.969400266,-0.915773327,-0.475947393,0.16459459,0.735723911,0.996584493,0.837166478,0.324699469,-0.324699469,-0.837166478,-0.996584493,-0.735723911,-0.16459459,0.475947393,0.915773327,0.969400266,0.614212713,-1.12709E-14,-0.614212713,-0.969400266,-0.915773327,-0.475947393,0.16459459,0.735723911,0.996584493,0.837166478,0.324699469,-0.324699469,-0.837166478,-0.996584493,-0.735723911,-0.16459459,0.475947393,0.915773327,0.969400266,0.614212713,-2.25419E-14,-0.614212713,-0.969400266,-0.915773327,-0.475947393,0.16459459,0.735723911,0.996584493
-0.029789437,0.828008831,0.371197249,-0.213299631,-0.724425205,-0.986361303,-0.909006535,-0.518969574,0.049583755,0.601081147,0.945817242,0.96520891,0.652585762,0.115484637,-0.461341163,-0.879473751,-0.995082903,-0.768401111,-0.277402909,0.309016994,0.789140509,0.997813627,0.863256481,0.431754352,-0.148263648,-0.677281572,-0.973326597,-0.934564465,-0.574328663,-0.016533945,0.546948158,0.922289755,0.980379966,0.701236784,0.180880534,-0.401695425,-0.846095252,-0.999453257,-0.809016994,-0.340293174,0.245485487,0.746821477,0.991264069,0.89472933,0.490423504,-0.082579345,-0.560715057,-0.928554038,-0.976986831,-0.689353409,-0.16459459,0.41678186,0.854792713,0.998769969,0.799187997,0.324699469,-0.261479941,-0.75771487,-0.993309266,-0.887222819,-0.475947393,0.09904553,0.639968541,0.960753676,0.951056516,0.614212713,0.066090584,-0.504765538,-0.90199123,-0.988947871,-0.735723911,-0.22942392,0.355793847,0.818624815,0.999863305,0.837166478,0.386499169,-0.197117027,-0.712928448,-0.983505075,-0.915773327,-0.533031729,0.033063369,0.587785252,0.94031939,0.969400266,0.665024572,0.131892171,-0.446608807,-0.871484244,-0.996584493
-0.090354875,0.863256481,0.490423504,-0.016533945,-0.518969574,-0.879473751,-0.999453257,-0.846095252,-0.461341163,0.049583755,0.546948158,0.89472933,0.997813627,0.828008831,0.431754352,-0.082579345,-0.574328663,-0.909006535,-0.995082903,-0.809016994,-0.401695425,0.115484637,0.601081147,0.922289755,0.991264069,0.789140509,0.371197249,-0.148263648,-0.627176358,-0.934564465,-0.986361303,-0.768401111,-0.340293174,0.180880534,0.652585762,0.945817242,0.980379966,0.746821477,0.309016994,-0.213299631,-0.677281572,-0.956035782,-0.973326597,-0.724425205,-0.277402909,0.245485487,-0.504765538,-0.871484244,-0.999863305,-0.854792713,-0.475947393,0.033063369,0.533031729,0.887222819,0.998769969,0.837166478,0.446608807,-0.066090584,-0.560715057,-0.90199123,-0.996584493,-0.818624815,-0.41678186,0.09904553,0.587785252,0.915773327,0.993309266,0.799187997,0.386499169,-0.131892171,-0.614212713,-0.928554038,-0.988947871,-0.778877279,-0.355793847,0.16459459,0.639968541,0.94031939,0.983505075,0.75771487,0.324699469,-0.197117027,-0.665024572,-0.951056516,-0.976986831,-0.735723911,-0.293250037,0.22942392,0.689353409,0.960753676,0.969400266
-0.060920174,0.89472933,0.601081147,0.180880534,-0.277402909,-0.677281572,-0.934564465,-0.995082903,-0.846095252,-0.518969574,-0.082579345,0.371197249,0.746821477,0.96520891,0.980379966,0.789140509,0.431754352,-0.016533945,-0.461341163,-0.809016994,-0.986361303,-0.956035782,-0.724425205,-0.340293174,0.115484637,0.546948158,0.863256481,0.997813627,0.922289755,0.652585762,0.245485487,-0.213299631,-0.627176358,-0.909006535,-0.999453257,-0.879473751,-0.574328663,-0.148263648,0.309016994,0.701236784,0.945817242,0.991264069,0.828008831,0.490423504,0.049583755,-0.401695425,-0.446608807,-0.799187997,-0.983505075,-0.960753676,-0.735723911,-0.355793847,0.09904553,0.533031729,0.854792713,0.996584493,0.928554038,0.665024572,0.261479941,-0.197117027,-0.614212713,-0.90199123,-0.999863305,-0.887222819,-0.587785252,-0.16459459,0.293250037,0.689353409,0.94031939,0.993309266,0.837166478,0.504765538,0.066090584,-0.386499169,-0.75771487,-0.969400266,-0.976986831,-0.778877279,-0.41678186,0.033063369,0.475947393,0.818624815,0.988947871,0.951056516,0.712928448,0.324699469,-0.131892171,-0.560715057,-0.871484244,-0.998769969,-0.915773327
-0.046280753,0.922289755,0.701236784,0.371197249,-0.016533945,-0.401695425,-0.724425205,-0.934564465,-0.999453257,-0.909006535,-0.677281572,-0.340293174,0.049583755,0.431754352,0.746821477,0.945817242,0.997813627,0.89472933,0.652585762,0.309016994,-0.082579345,-0.461341163,-0.768401111,-0.956035782,-0.995082903,-0.879473751,-0.627176358,-0.277402909,0.115484637,0.490423504,0.789140509,0.96520891,0.991264069,0.863256481,0.601081147,0.245485487,-0.148263648,-0.518969574,-0.809016994,-0.973326597,-0.986361303,-0.846095252,-0.574328663,-0.213299631,0.180880534,0.546948158,-0.386499169,-0.712928448,-0.928554038,-0.999863305,-0.915773327,-0.689353409,-0.355793847,0.033063369,0.41678186,0.735723911,0.94031939,0.998769969,0.90199123,0.665024572,0.324699469,-0.066090584,-0.446608807,-0.75771487,-0.951056516,-0.996584493,-0.887222819,-0.639968541,-0.293250037,0.09904553,0.475947393,0.778877279,0.960753676,0.993309266,0.871484244,0.614212713,0.261479941,-0.131892171,-0.504765538,-0.799187997,-0.969400266,-0.988947871,-0.854792713,-0.587785252,-0.22942392,0.16459459,0.533031729,0.818624815,0.976986831,0.983505075,0.837166478
0.023408091,0.945817242,0.789140509,0.546948158,0.245485487,-0.082579345,-0.401695425,-0.677281572,-0.879473751,-0.986361303,-0.986361303,-0.879473751,-0.677281572,-0.401695425,-0.082579345,0.245485487,0.546948158,0.789140509,0.945817242,1,0.945817242,0.789140509,0.546948158,0.245485487,-0.082579345,-0.401695425,-0.677281572,-0.879473751,-0.986361303,-0.986361303,-0.879473751,-0.677281572,-0.401695425,-0.082579345,0.245485487,0.546948158,0.789140509,0.945817242,1,0.945817242,0.789140509,0.546948158,0.245485487,-0.082579345,-0.401695425,-0.677281572,-0.324699469,-0.614212713,-0.837166478,-0.969400266,-0.996584493,-0.915773327,-0.735723911,-0.475947393,-0.16459459,0.16459459,0.475947393,0.735723911,0.915773327,0.996584493,0.969400266,0.837166478,0.614212713,0.324699469,-1.86214E-14,-0.324699469,-0.614212713,-0.837166478,-0.969400266,-0.996584493,-0.915773327,-0.735723911,-0.475947393,-0.16459459,0.16459459,0.475947393,0.735723911,0.915773327,0.996584493,0.969400266,0.837166478,0.614212713,0.324699469,-3.72428E-14,-0.324699469,-0.614212713,-0.837166478,-0.969400266,-0.996584493,-0.915773327,-0.735723911
0.074291576,0.96520891,0.863256481,0.701236784,0.490423504,0.245485487,-0.016533945,-0.277402909,-0.518969574,-0.724425205,-0.879473751,-0.973326597,-0.999453257,-0.956035782,-0.846095252,-0.677281572,-0.461341163,-0.213299631,0.049583755,0.309016994,0.546948158,0.746821477,0.89472933,0.980379966,0.997813627,0.945817242,0.828008831,0.652585762,0.431754352,0.180880534,-0.082579345,-0.340293174,-0.574328663,-0.768401111,-0.909006535,-0.986361303,-0.995082903,-0.934564465,-0.809016994,-0.627176358,-0.401695425,-0.148263648,0.115484637,0.371197249,0.601081147,0.789140509,-0.261479941,-0.504765538,-0.712928448,-0.871484244,-0.969400266,-0.999863305,-0.960753676,-0.854792713,-0.689353409,-0.475947393,-0.22942392,0.033063369,0.293250037,0.533031729,0.735723911,0.887222819,0.976986831,0.998769969,0.951056516,0.837166478,0.665024572,0.446608807,0.197117027,-0.066090584,-0.324699469,-0.560715057,-0.75771487,-0.90199123,-0.983505075,-0.996584493,-0.94031939,-0.818624815,-0.639968541,-0.41678186,-0.16459459,0.09904553,0.355793847,0.587785252,0.778877279,0.915773327,0.988947871,0.993309266,0.928554038,0.799187997,0.614212713
0.066922312,0.980379966,0.922289755,0.828008831,0.701236784,0.546948158,0.371197249,0.180880534,-0.016533945,-0.213299631,-0.401695425,-0.574328663,-0.724425205,-0.846095252,-0.934564465,-0.986361303,-0.999453257,-0.973326597,-0.909006535,-0.809016994,-0.677281572,-0.518969574,-0.340293174,-0.148263648,0.049583755,0.245485487,0.431754352,0.601081147,0.746821477,0.863256481,0.945817242,0.991264069,0.997813627,0.96520891,0.89472933,0.789140509,0.652585762,0.490423504,0.309016994,0.115484637,-0.082579345,-0.277402909,-0.461341163,-0.627176358,-0.768401111,-0.879473751,-0.197117027,-0.386499169,-0.560715057,-0.712928448,-0.837166478,-0.928554038,-0.983505075,-0.999863305,-0.976986831,-0.915773327,-0.818624815,-0.689353409,-0.533031729,-0.355793847,-0.16459459,0.033063369,0.22942392,0.41678186,0.587785252,0.735723911,0.854792713,0.94031939,0.988947871,0.998769969,0.969400266,0.90199123,0.799187997,0.665024572,0.504765538,0.324699469,0.131892171,-0.066090584,-0.261479941,-0.446608807,-0.614212713,-0.75771487,-0.871484244,-0.951056516,-0.993309266,-0.996584493,-0.960753676,-0.887222819,-0.778877279,-0.639968541,-0.475947393
0.095715942,0.991264069,0.96520891,0.922289755,0.863256481,0.789140509,0.701236784,0.601081147,0.490423504,0.371197249,0.245485487,0.115484637,-0.016533945,-0.148263648,-0.277402909,-0.401695425,-0.518969574,-0.627176358,-0.724425205,-0.809016994,-0.879473751,-0.934564465,-0.973326597,-0.995082903,-0.999453257,-0.986361303,-0.956035782,-0.909006535,-0.846095252,-0.768401111,-0.677281572,-0.574328663,-0.461341163,-0.340293174,-0.213299631,-0.082579345,0.049583755,0.180880534,0.309016994,0.431754352,0.546948158,0.652585762,0.746821477,0.828008831,0.89472933,0.945817242,-0.131892171,-0.261479941,-0.386499169,-0.504765538,-0.614212713,-0.712928448,-0.799187997,-0.871484244,-0.928554038,-0.969400266,-0.993309266,-0.999863305,-0.988947871,-0.960753676,-0.915773327,-0.854792713,-0.778877279,-0.689353409,-0.587785252,-0.475947393,-0.355793847,-0.22942392,-0.09904553,0.033063369,0.16459459,0.293250037,0.41678186,0.533031729,0.639968541,0.735723911,0.818624815,0.887222819,0.94031939,0.976986831,0.996584493,0.998769969,0.983505075,0.951056516,0.90199123,0.837166478,0.75771487,0.665024572,0.560715057,0.446608807,0.324699469
0.064792039,0.997813627,0.991264069,0.980379966,0.96520891,0.945817242,0.922289755,0.89472933,0.863256481,0.828008831,0.789140509,0.746821477,0.701236784,0.652585762,0.601081147,0.546948158,0.490423504,0.431754352,0.371197249,0.309016994,0.245485487,0.180880534,0.115484637,0.049583755,-0.016533945,-0.082579345,-0.148263648,-0.213299631,-0.277402909,-0.340293174,-0.401695425,-0.461341163,-0.518969574,-0.574328663,-0.627176358,-0.677281572,-0.724425205,-0.768401111,-0.809016994,-0.846095252,-0.879473751,-0.909006535,-0.934564465,-0.956035782,-0.973326597,-0.986361303,-0.066090584,-0.131892171,-0.197117027,-0.261479941,-0.324699469,-0.386499169,-0.446608807,-0.504765538,-0.560715057,-0.614212713,-0.665024572,-0.712928448,-0.75771487,-0.799187997,-0.837166478,-0.871484244,-0.90199123,-0.928554038,-0.951056516,-0.969400266,-0.983505075,-0.993309266,-0.998769969,-0.999863305,-0.996584493,-0.988947871,-0.976986831,-0.960753676,-0.94031939,-0.915773327,-0.887222819,-0.854792713,-0.818624815,-0.778877279,-0.735723911,-0.689353409,-0.639968541,-0.587785252,-0.533031729,-0.475947393,-0.41678186,-0.355793847,-0.293250037,-0.22942392,-0.16459459
0.062635571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2.4503E-16,-4.90059E-16,-7.35089E-16,-9.80119E-16,-1.22515E-15,-1.47018E-15,-1.71521E-15,-1.96024E-15,-2.20527E-15,-2.4503E-15,-9.80075E-15,-2.94036E-15,3.92004E-15,-3.43042E-15,-1.07809E-14,-3.92048E-15,2.93992E-15,-4.41053E-15,-1.1761E-14,-4.90059E-15,1.9598E-15,-1.96015E-14,-1.27411E-14,-5.88071E-15,9.79685E-16,7.84008E-15,-1.37212E-14,-6.86083E-15,-4.33681E-19,-2.15617E-14,-1.47013E-14,-7.84095E-15,-9.80552E-16,5.87985E-15,-1.56815E-14,-8.82107E-15,-1.96067E-15,-2.3522E-14,-1.66616E-14,-9.80119E-15,-3.13625E-14,3.91961E-15,-1.76417E-14,-3.9203E-14,-3.92091E-15
